time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
13-04-2015,8801.75,8841.6504,8762.0996,8834,8812.583333,8812.583333,8812.583333,8663.538799,8644.922566,8517.018209,8158.855029,125365002,167007401.2,61.99082965,46.36245093,NaN,NaN,NaN,NaN,61.99082965,NaN,38.91541213,14.3054619,-24.60995023,98.66368559,98.46525847
15-04-2015,8844.75,8844.7998,8722.4004,8750.2002,8772.4668,8772.4668,8772.4668,8671.792266,8649.051101,8521.635674,8164.73906,168583004,166203251.6,55.44780613,47.50392348,NaN,NaN,NaN,NaN,NaN,NaN,34.8947184,19.00844778,-15.88627063,83.56645555,93.62321315
16-04-2015,8757.0498,8760,8645.6504,8706.7002,8704.116867,8704.116867,8704.116867,8675.116831,8651.31185,8525.300318,8170.131708,147265995,165144651,52.35844464,48.45362204,NaN,NaN,NaN,NaN,NaN,NaN,27.91415039,19.00641736,-8.907733031,76.00977262,86.07997125
17-04-2015,8698.0498,8699.8496,8596.7002,8606,8634.183267,8634.183267,8634.183267,8668.534276,8649.534914,8526.898331,8174.468706,154977993,163768300.8,45.97271829,48.99348607,NaN,NaN,NaN,NaN,NaN,NaN,15.7303183,10.75516484,-4.975153456,58.51645116,72.69755978
20-04-2015,8618.7998,8619.9502,8422.75,8448.0996,8496.933267,8496.933267,8496.933267,8647.540497,8641.63549,8525.33796,8177.191402,153513001,163386250.5,38.12158881,49.56840422,NaN,NaN,NaN,NaN,NaN,NaN,-2.762358015,-8.428100976,-5.66574296,31.08649119,55.20423832
21-04-2015,8416.0996,8469.3496,8352.7002,8377.75,8399.933267,8399.933267,8399.933267,8621.846164,8631.28704,8522.415427,8179.18701,420431004,175976401,35.2344815,49.93909567,NaN,NaN,NaN,NaN,NaN,NaN,-18.64629552,-28.97361236,-10.32731684,5.09039227,31.56444487
22-04-2015,8400.4004,8449.9502,8284.7002,8429.7002,8388.116867,8388.116867,8388.116867,8603.546548,8623.381673,8520.579481,8181.679678,177125999,175833550.5,38.91362369,49.73540234,NaN,NaN,NaN,NaN,NaN,NaN,-24.21507763,-40.59616387,-16.38108625,25.88825273,20.68837873
23-04-2015,8478.2002,8504.9502,8361.8496,8398.2998,8421.699867,8421.699867,8421.699867,8583.999239,8614.554933,8518.158102,8183.835102,160803996,176102450.5,37.52601252,49.43722321,NaN,NaN,NaN,NaN,NaN,NaN,-28.29064492,-51.74439239,-23.45374748,20.28203555,17.08689352
24-04-2015,8405.7002,8413.2998,8273.3496,8305.25,8330.633133,8330.633133,8330.633133,8557.451693,8602.425328,8513.9421,8185.043211,178990006,176978700.4,33.69196575,48.41086051,NaN,NaN,NaN,NaN,NaN,NaN,-35.0864867,-67.31185585,-32.22536915,5.582358708,17.25088233
27-04-2015,8330.5498,8334.4502,8202.3496,8213.7998,8250.199867,8250.199867,8250.199867,8524.722941,8587.185111,8507.998688,8185.329346,176843997,177523300.4,30.40412074,46.84067678,NaN,NaN,30.40412074,NaN,NaN,NaN,-43.04904264,-86.03667245,-42.98762981,1.782270439,9.2155549
