time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Trailing Stop,Buy,Sell,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
2024-10-15T10:32:00+05:30,25026.35,25027.55,25014.1,25024.75,25137.00312,25193.74047,25080.26577,25051.30306,25077.27811,25100.3584,25112.27092,25042.27389,0,0,403152,571100.85,30.28464954,37.7789334,NaN,NaN,NaN,NaN,NaN,NaN,-2.511808013,-13.90194298,-11.39013497,19.17191719,14.83812018
2024-10-15T10:33:00+05:30,25025,25041.65,25023.7,25040.45,25136.25979,25193.44963,25079.06995,25050.26944,25075.83387,25099.1721,25111.55629,25042.27389,0,0,528141,572663.7,41.25773794,37.59370393,NaN,NaN,NaN,NaN,NaN,NaN,-1.351723013,-13.07978873,-11.72806572,47.43474347,28.80549545
2024-10-15T10:34:00+05:30,25040.15,25044.4,25033.7,25044.4,25135.67225,25193.17236,25078.17215,25049.71044,25074.60117,25098.0875,25110.88807,25021.15091,1,0,447813,559262.75,43.66041941,37.75909061,NaN,NaN,NaN,NaN,NaN,NaN,-0.194742347,-11.97149365,-11.77675131,56.3197026,40.97545442
2024-10-15T10:35:00+05:30,25044.7,25048.45,25040.9,25047.8,25134.9067,25192.75481,25077.05859,25049.52849,25073.55014,25097.09171,25110.26032,25025.17776,0,0,624291,562435.55,45.71850685,38.25320727,NaN,NaN,NaN,NaN,NaN,NaN,0.864985887,-10.69551895,-11.56050483,62.6394052,55.46461709
2024-10-15T10:36:00+05:30,25048.9,25061.35,25047.7,25060.9,25134.3658,25192.3771,25076.3545,25050.61149,25073.05406,25096.37504,25109.76918,25037.91794,0,0,510567,564942.35,52.86325415,39.07038451,NaN,NaN,NaN,NaN,NaN,NaN,2.425265335,-8.528923166,-10.9541885,86.98884758,68.64931846
2024-10-15T10:37:00+05:30,25061.1,25064.05,25056.8,25062.15,25133.7077,25191.87102,25075.54437,25051.7104,25072.62645,25095.69732,25109.29535,25039.8204,0,0,668600,558903.55,53.4923015,39.61294196,NaN,NaN,NaN,NaN,NaN,NaN,3.455721175,-6.634537032,-10.09025821,89.31226766,79.64684015
2024-10-15T10:38:00+05:30,25063.5,25070.85,25061.75,25070.85,25133.2742,25191.4901,25075.0583,25053.53322,25072.55678,25095.20529,25108.91281,25048.83806,0,0,493618,557833.75,57.72131554,40.4904546,NaN,NaN,NaN,NaN,NaN,NaN,4.567640951,-4.380707018,-8.948347969,100,92.10037175
2024-10-15T10:39:00+05:30,25071.6,25081.4,25069.65,25081.3,25132.82163,25191.01678,25074.62648,25056.17767,25072.89966,25094.92994,25108.63806,25059.1736,0,0,613241,564564.25,62.17092342,41.88696883,NaN,NaN,NaN,NaN,NaN,NaN,5.773602406,-1.731344962,-7.504947368,99.85141159,96.38789308
2024-10-15T10:40:00+05:30,25080.25,25081.75,25075.8,25079.3,25132.37012,25190.52862,25074.21163,25058.3798,25073.15065,25094.62043,25108.34614,25059.1736,0,0,639337,565831.95,60.8509475,43.45004171,NaN,NaN,NaN,NaN,NaN,NaN,6.167599749,0.204552319,-5.96304743,96.37841833,98.74327664
2024-10-15T10:41:00+05:30,25079.6,25080,25074.1,25079.1,25131.84417,25189.96741,25073.72094,25060.35315,25073.38396,25094.3131,25108.05513,25059.1736,0,0,741451,570407.65,60.71213171,45.07350325,NaN,NaN,NaN,NaN,NaN,NaN,6.132834313,1.702995461,-4.429838852,96.08277901,97.43753631
2024-10-15T10:42:00+05:30,25080.15,25086.3,25078.9,25086.1,25131.59742,25189.67301,25073.52183,25062.80523,25073.88263,25094.15046,25107.83667,25065.94068,0,0,397356,566683.15,63.8228362,47.11458751,NaN,NaN,NaN,NaN,NaN,NaN,6.276660344,3.415986578,-2.860673766,99.72299169,97.39472968
2024-10-15T10:43:00+05:30,25086.85,25097.2,25086.35,25094.05,25131.31754,25189.27843,25073.35666,25065.78093,25074.6735,25094.14847,25107.69949,25073.73371,0,0,558693,577346.65,67.01691305,49.76247922,NaN,NaN,NaN,NaN,67.01691305,NaN,6.571205451,5.353333048,-1.217872403,96.20938628,97.33838566
2024-10-15T10:44:00+05:30,25093.35,25093.8,25086.25,25089.25,25131.09326,25188.97762,25073.2089,25068.01608,25075.24513,25094.05147,25107.51591,25073.73371,0,0,423201,574651.65,63.37850322,52.43411773,NaN,NaN,NaN,NaN,NaN,NaN,6.116125494,6.427284464,0.31115897,90.433213,95.45519699
2024-10-15T10:45:00+05:30,25088.65,25097.1,25088.65,25094.95,25130.84299,25188.61481,25073.07117,25070.58121,25076.01787,25094.06927,25107.39088,25075.23138,0,0,526387,579163.85,65.75605145,54.90760653,NaN,NaN,NaN,NaN,NaN,NaN,5.871196695,7.650154839,1.778958144,97.29241877,94.64500602
2024-10-15T10:46:00+05:30,25095.6,25095.7,25086.65,25086.65,25130.64302,25188.34543,25072.94061,25072.11157,25076.43482,25093.92235,25107.1845,25075.23138,0,0,385194,575825.8,59.68014557,57.00728482,NaN,NaN,NaN,NaN,NaN,NaN,4.863997205,7.85895465,2.994957445,85.6462585,91.12396342
2024-10-15T10:47:00+05:30,25086.95,25091.65,25083.45,25090.55,25130.35478,25187.96396,25072.7456,25073.86761,25076.98835,25093.85557,25107.01899,25075.23138,0,0,546862,547534.6,61.48116997,58.45181568,NaN,NaN,NaN,NaN,NaN,NaN,4.19930974,8.24409462,4.04478488,89.52755906,90.82207878
2024-10-15T10:48:00+05:30,25090.7,25091.9,25081.5,25085.05,25130.04219,25187.5667,25072.51768,25074.9326,25077.3045,25093.6812,25106.80039,25075.23138,0,0,568757,550379.55,57.57528454,59.44573462,NaN,NaN,NaN,NaN,NaN,NaN,3.174689076,8.013146225,4.838457149,78.41918295,84.53100017
2024-10-15T10:49:00+05:30,25086.15,25087.55,25076.3,25077.9,25129.80039,25187.28771,25072.31306,25075.21521,25077.32785,25093.36871,25106.51282,25075.23138,0,0,395151,538378.65,52.87269713,59.95674821,NaN,NaN,NaN,NaN,NaN,NaN,1.86564666,7.170515474,5.304868814,61.01010101,76.31894767
2024-10-15T10:50:00+05:30,25077.25,25078,25074.95,25076.8,25129.42964,25186.88712,25071.97217,25075.36614,25077.30715,25093.04061,25106.21717,25075.23138,0,0,567032,526642.95,52.16676008,59.90699863,NaN,NaN,NaN,NaN,NaN,NaN,0.828801047,6.340870122,5.512069076,49.5049505,62.97807815
2024-10-15T10:51:00+05:30,25076.3,25085.45,25075.9,25084.75,25129.12573,25186.52351,25071.72795,25076.25984,25077.59903,25092.87644,25106.00357,25075.23138,0,0,525270,528205.7,56.66959839,60.13394841,NaN,NaN,NaN,NaN,NaN,NaN,0.592577129,6.252790487,5.660213358,64.88011283,58.46505478
2024-10-15T10:52:00+05:30,25085.85,25096.35,25084.3,25091.7,25128.82307,25186.09446,25071.55168,25077.73034,25078.15201,25092.85315,25105.86124,25075.23138,0,0,651776,540636.9,60.1971478,60.31079357,NaN,NaN,NaN,NaN,NaN,NaN,0.80538236,6.666941308,5.861558948,80.03629764,64.80712032
2024-10-15T10:53:00+05:30,25091.55,25091.55,25086.9,25088.65,25128.59853,25185.78583,25071.41124,25078.7703,25078.56369,25092.76991,25105.68999,25075.23138,0,0,468586,537659.15,57.96686506,60.01050369,NaN,NaN,NaN,NaN,NaN,NaN,0.648462493,6.672137064,6.023674571,62.98701299,69.30114115
2024-10-15T10:54:00+05:30,25087.5,25097.15,25087.5,25095.95,25128.39369,25185.47629,25071.31109,25080.40646,25079.24551,25092.83289,25105.59307,25077.50945,0,0,487936,539665.3,61.63100566,60.06622213,NaN,NaN,NaN,NaN,61.63100566,NaN,0.92706694,7.182508246,6.255441306,94.58874459,79.20401841
2024-10-15T10:55:00+05:30,25096.5,25097.65,25067.7,25071.5,25127.91272,25184.92391,25070.90153,25079.55823,25078.94176,25092.41045,25105.25384,25093.12974,0,1,820485,549475,46.88808495,59.07879022,NaN,NaN,46.88808495,NaN,NaN,NaN,-0.564279116,5.550092411,6.114371527,12.68781302,56.75452353
2024-10-15T10:56:00+05:30,25070.5,25083,25068.4,25081.1,25127.61657,25184.59045,25070.64268,25079.70507,25079.0264,25092.18648,25105.0135,25093.12974,0,0,498436,548868.45,51.7668199,58.2176462,NaN,NaN,NaN,NaN,NaN,NaN,-0.912539473,4.973697186,5.886236659,44.74123539,50.67259767
2024-10-15T10:57:00+05:30,25081.5,25081.5,25074.45,25076,25127.38157,25184.32561,25070.43752,25079.3522,25078.90772,25091.86596,25104.72481,25093.12974,0,0,398253,535351.1,49.18214256,56.94373402,NaN,NaN,NaN,NaN,NaN,NaN,-1.462119273,4.058587568,5.520706841,27.71285476,28.38063439
2024-10-15T10:58:00+05:30,25075.15,25078.55,25068.9,25077.1,25127.01255,25183.92559,25070.0995,25079.13771,25078.83683,25091.57356,25104.44994,25093.12974,0,0,603046,540822.5,49.76474282,55.97132256,NaN,NaN,NaN,NaN,NaN,NaN,-1.710070336,3.383118921,5.093189257,31.38564274,34.6132443
2024-10-15T10:59:00+05:30,25077.25,25079.4,25074.45,25078.25,25126.78169,25183.66262,25069.90076,25079.05316,25078.81381,25091.30973,25104.18924,25093.12974,0,0,401059,530213.4,50.40489463,54.87481136,NaN,NaN,NaN,NaN,NaN,NaN,-1.748879867,2.907089423,4.65596929,35.22537563,31.44129104
2024-10-15T11:00:00+05:30,25077.8,25081.05,25076.15,25076.5,25126.57482,25183.42389,25069.72575,25078.81,25078.72308,25091.01647,25103.91373,25093.12974,0,0,366549,516574,49.37380636,54.13864428,NaN,NaN,NaN,NaN,NaN,NaN,-1.835654251,2.361401476,4.197055727,29.38230384,31.99777407
2024-10-15T11:01:00+05:30,25076.65,25078.25,25074.85,25076.85,25126.30003,25183.11264,25069.48743,25078.62334,25078.64962,25090.73595,25103.64444,25093.12974,0,0,479359,503469.4,49.59588348,53.28969524,NaN,NaN,NaN,NaN,NaN,NaN,-1.809742299,1.934877854,3.744620153,30.5509182,31.71953255
2024-10-15T11:02:00+05:30,25076.7,25076.75,25069.1,25069.75,25126.005,25182.80421,25069.20579,25077.77826,25078.30062,25090.32038,25103.30718,25088.21214,0,0,474627,507332.95,45.25871992,52.40994062,NaN,NaN,NaN,NaN,NaN,NaN,-2.185875907,1.012275268,3.198151176,6.844741235,22.25932109
2024-10-15T11:03:00+05:30,25069.35,25072.15,25067.95,25071.35,25125.73814,25182.53065,25068.94562,25077.16604,25078.02804,25089.94473,25102.9892,25088.21214,0,0,422927,500544.65,46.39634944,51.94734436,NaN,NaN,NaN,NaN,NaN,NaN,-2.234090611,0.405537912,2.639628523,12.1869783,16.52754591
2024-10-15T11:04:00+05:30,25071.9,25072.55,25068.3,25069.15,25125.41676,25182.20234,25068.63118,25076.40261,25077.67988,25089.53295,25102.65249,25086.13135,0,0,510281,504898.65,45.01120852,51.43623353,NaN,NaN,NaN,NaN,NaN,NaN,-2.311659782,-0.249946204,2.061713578,4.841402337,7.95770729
2024-10-15T11:05:00+05:30,25069.35,25069.35,25064.3,25066.75,25125.18465,25181.97712,25068.39217,25075.48331,25077.25126,25089.08181,25102.29525,25083.20201,0,0,351843,496171.45,43.48598767,50.49454706,NaN,NaN,43.48598767,NaN,NaN,NaN,-2.411056252,-0.952106737,1.458949515,7.346326837,8.12490249
2024-10-15T11:06:00+05:30,25066.65,25069.05,25063.7,25068.9,25124.92731,25181.72447,25068.13015,25074.85633,25076.92376,25088.68217,25101.96296,25083.20201,0,0,396203,496721.9,45.27498563,49.42867833,NaN,NaN,NaN,NaN,NaN,NaN,-2.223057468,-1.31987232,0.903185148,15.31664212,9.168123765
2024-10-15T11:07:00+05:30,25068.35,25072.9,25064.9,25071.55,25124.67268,25181.46175,25067.88361,25074.54144,25076.71303,25088.34292,25101.66034,25083.20201,0,0,414026,490080.1,47.4817504,48.67974157,NaN,NaN,NaN,NaN,NaN,NaN,-1.827804484,-1.381570457,0.446234027,23.12223859,15.26173585
2024-10-15T11:08:00+05:30,25072.55,25078.8,25071,25073.55,25124.43563,25181.195,25067.67626,25074.44702,25076.58899,25088.04999,25101.38064,25083.20201,0,0,425209,482902.7,49.14839734,47.78812669,NaN,NaN,NaN,NaN,49.14839734,NaN,-1.360683942,-1.254620901,0.106063041,29.01325479,22.48404516
2024-10-15T11:09:00+05:30,25073.7,25075,25067.85,25070.75,25124.28844,25181.03817,25067.5387,25074.09492,25076.36001,25087.70741,25101.07585,25083.20201,0,0,249782,475634.25,46.90421591,47.7892789,NaN,NaN,NaN,NaN,NaN,NaN,-1.176228951,-1.364223147,-0.187994196,36.52849741,29.55466359
2024-10-15T11:10:00+05:30,25071.75,25071.75,25065.85,25067.25,25124.02585,25180.77151,25067.28019,25073.44303,25076.00275,25087.30232,25100.73928,25082.78693,0,0,425555,468560.4,44.18809806,47.24794162,NaN,NaN,NaN,NaN,NaN,NaN,-1.220604186,-1.713749429,-0.493145243,19.94382022,28.49519081
2024-10-15T11:11:00+05:30,25066.65,25068.3,25063.5,25064.5,25123.86144,25180.61212,25067.11075,25072.59131,25075.55166,25086.85078,25100.37869,25079.58024,0,0,255398,455066.8,42.12406641,46.74379333,NaN,NaN,42.12406641,NaN,NaN,NaN,-1.355434301,-2.187438119,-0.832003818,5.698005698,20.72344111
2024-10-15T11:12:00+05:30,25065.15,25066.9,25063.55,25066.75,25123.68072,25180.43545,25066.92599,25072.03499,25075.2065,25086.45275,25100.04407,25079.58024,0,0,283861,436671.05,44.41191492,46.36144848,NaN,NaN,NaN,NaN,NaN,NaN,-1.217714135,-2.354146487,-1.136432352,18.51851852,14.72011481
2024-10-15T11:13:00+05:30,25066.85,25071.15,25064.55,25065.6,25123.48762,25180.24143,25066.73381,25071.42214,25074.82977,25086.03982,25099.70135,25079.58024,0,0,312667,428875.1,43.4661559,45.86582428,NaN,NaN,NaN,NaN,NaN,NaN,-1.130588892,-2.549668467,-1.419079575,11.96581197,12.06077873
2024-10-15T11:14:00+05:30,25065.7,25072.5,25063.35,25072.5,25123.2684,25180.01103,25066.52577,25071.52479,25074.73841,25085.77171,25099.43069,25079.58024,0,0,373173,423136.95,50.30426527,45.93228563,NaN,NaN,NaN,NaN,50.30426527,NaN,-0.563433782,-2.123371803,-1.55993802,59.22330097,29.90254382
2024-10-15T11:15:00+05:30,25072.65,25074.2,25065,25066.15,25123.02456,25179.75825,25066.29087,25071.01291,25074.40161,25085.38316,25099.09954,25079.58024,0,0,411008,402663.1,44.91944485,45.5982543,NaN,NaN,NaN,NaN,NaN,NaN,-0.569436325,-2.271733427,-1.702297102,18.12297735,29.77069676
2024-10-15T11:16:00+05:30,25066.45,25067.3,25063.75,25064.25,25122.80472,25179.54255,25066.06688,25070.36882,25074.00351,25084.96468,25098.75277,25078.58136,0,0,352030,395342.8,43.42170014,45.4670386,NaN,NaN,NaN,NaN,NaN,NaN,-0.649081853,-2.513649418,-1.864567565,5.825242718,27.72384035
2024-10-15T11:17:00+05:30,25064.3,25064.8,25062.3,25062.6,25122.4956,25179.24766,25065.74354,25069.62893,25073.55631,25084.52182,25098.39304,25076.21356,0,0,483802,399620.25,42.10862522,45.16077259,NaN,NaN,42.10862522,NaN,NaN,NaN,-0.753276423,-2.806163093,-2.052886671,1.818181818,8.588800628
2024-10-15T11:18:00+05:30,25062.5,25065.55,25061.4,25064.8,25122.23111,25178.99094,25065.47129,25069.16903,25073.21293,25084.13129,25098.05879,25076.21356,0,0,422870,390611.45,44.51775463,45.12552588,NaN,NaN,NaN,NaN,NaN,NaN,-0.619980929,-2.827862832,-2.207881903,19.54022989,9.061218141
2024-10-15T11:19:00+05:30,25063.55,25067.85,25061.15,25067.2,25121.9756,25178.73517,25065.21603,25068.98151,25072.97713,25083.79601,25097.75173,25076.21356,0,0,422985,391707.75,47.10384454,45.38394423,NaN,NaN,NaN,NaN,NaN,NaN,-0.33064224,-2.621184703,-2.290542463,34.2776204,18.54534403
2024-10-15T11:20:00+05:30,25067.65,25073.4,25066.65,25073.2,25121.7412,25178.47465,25065.00775,25069.38327,25072.98587,25083.58619,25097.50744,25076.21356,0,0,435333,395146.95,53.00172785,45.93585439,NaN,NaN,NaN,NaN,53.00172785,NaN,0.271830879,-1.950753865,-2.222584743,68.27195467,40.69660165
